605,2166,66,17481,1
605,2166,66,20601,1
605,2166,66,20604,1
605,2182,66,17790,1
608,2097,66,13184,1
608,2097,66,13185,1
609,2100,66,13514,1
603,2001,66,9477,1
603,2001,66,9478,1
603,2115,66,5038,1
603,2126,66,15531,1
603,2128,66,5227,1
604,2026,66,19391,1
604,2134,66,19586,1
604,2135,66,19476,1
606,2134,66,19588,1
606,2141,66,19775,1
606,2141,66,19776,1
606,2141,66,19858,1
606,2143,66,19964,1
607,2106,66,9026,1
607,2106,66,9036,1
433,2175,58,17664,1
433,2180,58,20668,1
410,2081,58,4597,1
411,2167,59,20641,1
428,2102,59,14242,1
407,2147,59,18817,1
428,2148,59,14078,1
439,2107,59,4171,1
423,2126,59,15525,1
429,2132,59,9675,1
456,2186,60,17048,1
465,2188,60,16682,1
453,2099,60,14159,1
460,2147,60,18883,1
454,2157,60,19031,1
467,2142,60,19989,1
502,2163,61,20683,1
495,2178,61,12531,1
491,2112,61,9755,1
508,2181,62,17811,1
522,2028,62,8053,1
518,2119,62,1559,1
514,2133,62,15180,1
